SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
506687,TRANSPEK    ,X ,Q,1213.10,1263.00,1213.10,1253.15,1250.00,1215.65,29,645,792545.00,
506690,UNICHEM LAB ,B ,Q,182.20,189.80,182.20,187.90,187.90,178.80,605,14973,2791129.00,
506734,MYS PETRO   ,X ,Q,53.45,57.90,53.45,54.30,55.40,54.90,14,1084,59888.00,
506767,ALKYL AMINES,B ,Q,790.00,794.00,785.00,789.15,789.00,791.90,116,1418,1122171.00,
506820,ASTRAZEN.PH.,A ,Q,2065.00,2127.80,2012.00,2114.60,2103.85,2059.70,346,1864,3900623.00,
506852,PUN.ALKALI  ,X ,Q,47.10,52.95,47.00,51.25,51.05,51.20,87,5133,260851.00,
506854,TANFAC IND. ,X ,Q,176.00,177.00,164.05,167.35,168.00,174.05,292,16757,2852121.00,
506863,SWADESHI IND,XT,Q,0.45,0.45,0.43,0.45,0.45,0.45,9,1152,517.00,
506879,GUJ.THEMIS. ,X ,Q,36.75,37.10,36.75,37.10,37.10,37.20,3,70,2579.00,
506906,SCBL        ,Z ,Q,6.40,6.40,6.40,6.40,6.40,6.12,1,25,160.00,
506910,JAYSN DYEST ,X ,Q,48.40,49.25,48.25,48.25,48.25,50.75,16,1230,59581.00,
506919,MAKERS LAB. ,X ,Q,38.05,41.45,38.05,39.50,39.00,41.00,8,151,5967.00,
506943,J.B.CHEMICAL,B ,Q,381.20,411.00,380.00,404.65,404.65,380.10,1246,29506,11839767.00,
506981,BL.CHIP TEX ,X ,Q,81.00,89.50,81.00,81.50,81.00,89.45,13,781,64562.00,
507155,JAGATJIT IND,XT,Q,26.00,26.00,26.00,26.00,26.00,24.85,2,2,52.00,
507180,KESAR ENT.  ,T ,Q,28.95,31.75,28.95,31.75,31.75,30.30,5,2050,61420.00,
507205,TILAKNAG IND,B ,Q,12.56,12.95,12.40,12.66,12.70,12.70,23,8927,111453.00,
507300,RAVALGAON   ,XT,Q,1811.05,1996.65,1811.05,1996.00,1996.00,1901.60,35,129,248404.00,
507315,SAKTHI SUGAR,B ,Q,8.60,9.44,8.34,9.19,8.93,8.67,10,1519,13054.00,
507410,WALCHANDNGR ,B ,Q,75.40,81.40,74.20,76.95,75.70,72.15,4930,566611,44042697.00,
507435,KHOD.INDIA  ,XT,Q,67.10,67.10,67.10,67.10,67.10,64.00,2,260,17446.00,
507438,IFB AGRO    ,B ,Q,335.40,409.00,329.65,409.00,409.00,340.85,565,10669,4253913.00,
507442,DHARANI SUG ,B ,Q,10.11,10.11,10.11,10.11,10.11,10.64,2,25,252.00,
507474,KOTHARI FERM,X ,Q,59.50,61.00,57.00,57.55,57.55,56.15,18,1665,98103.00,
507488,G.M.BREWERI ,B ,Q,374.45,377.05,369.40,372.50,372.60,370.25,51,594,221157.00,
507490,RANA SUGARS ,B ,Q,2.55,2.61,2.46,2.51,2.46,2.48,42,73509,185136.00,
507508,RIGA SUGAR  ,XT,Q,6.60,6.60,6.60,6.60,6.60,6.60,1,240,1584.00,
507514,SOM DISTILL.,T ,Q,119.95,121.45,117.05,121.00,121.00,119.90,25,1691,202796.00,
507525,AMRIT CORP  ,X ,Q,577.50,577.50,577.50,577.50,577.50,550.00,2,12,6930.00,
507526,ASSO.ALCOHOL,X ,Q,194.00,196.40,189.80,192.55,190.95,193.20,178,11572,2237069.00,
507552,FOODS & INNS,X ,Q,48.55,51.50,48.50,49.95,49.95,49.85,177,19818,992659.00,
507580,IVP LIMITED ,B ,Q,68.00,68.05,68.00,68.00,68.00,70.90,4,110,7481.00,
507598,KLRFM       ,X ,Q,28.50,28.50,28.00,28.10,28.00,29.00,22,2308,65348.00,
507621,MILKFOOD    ,X ,Q,306.00,319.00,306.00,318.95,318.95,316.00,12,145,45186.00,
507645,POLSON LTD. ,X ,Q,8162.00,8199.00,8155.00,8192.40,8192.40,8100.00,32,55,450603.00,
507685,WIPRO LTD.  ,A ,Q,244.55,247.35,243.40,245.40,245.40,244.55,4466,269912,66114510.00,
507690,ORIENT BEVER,X ,Q,73.45,73.45,73.40,73.45,73.45,70.00,3,31,2276.00,XD
507717,DHAN AGRI   ,B ,Q,342.20,343.20,337.05,337.10,337.10,337.00,13,277,94026.00,
507747,TTK HEALTHCA,B ,Q,472.00,484.40,461.00,473.05,473.05,470.90,28,84,39380.00,
507753,TGVSL       ,X ,Q,25.50,25.85,24.75,25.50,25.50,25.45,155,52261,1331853.00,
507759,LIME CHEM.  ,X ,Q,23.50,24.00,23.50,24.00,24.00,23.10,4,265,6327.00,
507779,KANPUR PLAST,X ,Q,75.05,80.00,75.05,79.55,80.00,80.20,53,2545,198068.00,
507785,TAINWALA CH.,B ,Q,55.00,55.95,54.00,54.10,54.00,56.00,4,650,35173.00,
507789,JAGSON PHAR ,B ,Q,24.75,25.95,24.75,25.40,25.70,24.95,27,2955,75974.00,
507794,KHAITAN CHEM,X ,Q,7.00,7.45,6.70,7.41,7.41,6.70,41,10199,73067.00,
507813,NATI. OXYGEN,X ,Q,33.40,36.25,33.05,34.60,34.70,34.75,32,569,19047.00,
507815,GILLETTE (I),A ,Q,7064.40,7119.15,7064.40,7073.25,7065.40,7092.20,63,147,1043868.00,
507828,ANSALHSG    ,B ,Q,5.50,5.72,5.16,5.53,5.72,5.57,58,2599,14276.00,
507836,MAC CHARLES ,X ,Q,418.00,425.00,401.25,416.40,416.40,402.95,56,3150,1311905.00,
507864,PION INVEST ,X ,Q,39.00,40.00,38.00,40.00,40.00,37.55,23,4256,167158.00,
507872,ASHNOOR TEX.,XT,Q,13.50,13.50,13.50,13.50,13.50,13.14,3,225,3037.00,
507878,UNITECH LTD ,B ,Q,0.75,0.77,0.73,0.76,0.76,0.74,276176,933235,696869.00,
507880,VIP INDUS.  ,A ,Q,415.00,419.55,401.50,403.10,402.90,413.50,927,21787,8923016.00,
507910,FIBERWB IN  ,X ,Q,15.85,16.60,15.85,16.60,16.60,15.81,100,45802,755623.00,
507912,LKP FIN     ,X ,Q,66.00,67.00,60.50,64.00,64.00,61.30,4,318,20388.00,
507917,EASTBUILD   ,XT,Q,11.30,11.30,11.30,11.30,11.30,10.77,5,400,4520.00,
507944,BAJAJ STEEL ,X ,Q,202.00,212.00,200.00,202.65,202.65,201.00,56,1165,237423.00,
507960,GUJ.HOTELS  ,X ,Q,103.00,103.00,103.00,103.00,103.00,102.25,7,1600,164800.00,
507966,RAS RESORTS ,X ,Q,41.80,41.80,41.80,41.80,41.80,43.95,1,5,209.00,
507981,JINDAL HOTL ,X ,Q,38.70,43.25,38.50,43.25,43.25,42.50,4,66,2556.00,
507998,SIMMONDS-MAR,X ,Q,52.00,54.75,51.30,51.55,51.30,51.05,28,1190,62873.00,
508136,BNALTD      ,X ,Q,126.00,126.00,126.00,126.00,126.00,130.35,1,55,6930.00,
508486,HAWKINS COOK,B ,Q,2980.00,2998.00,2894.00,2918.90,2912.00,2961.40,136,734,2152405.00,
508494,WARREN TEA  ,X ,Q,43.00,44.45,43.00,43.80,43.70,44.40,17,341,14876.00,
508664,BEST E.HOTEL,XT,Q,8.05,8.05,8.00,8.00,8.00,8.16,5,1211,9688.00,
508807,IST LTD.    ,X ,Q,662.10,670.05,662.10,670.05,670.05,700.45,3,60,39964.00,
508814,COSMO FILMS ,B ,Q,220.85,223.00,214.00,220.15,219.00,217.50,33,582,127468.00,
508869,APOLLO HOSP.,A ,Q,1470.00,1476.25,1431.10,1458.50,1458.50,1459.10,2422,59774,87086665.00,
508875,NITINCAST   ,X ,Q,61.75,61.75,61.75,61.75,61.75,65.00,4,53,3272.00,
508905,SMIFS CAPITA,X ,Q,37.05,38.85,37.05,38.85,38.85,38.95,3,5,190.00,
508906,EVEREST INDS,B ,Q,348.00,356.00,336.65,344.05,344.05,352.80,687,13940,4824256.00,
508918,GREYCELLS   ,X ,Q,14.65,14.65,14.65,14.65,14.65,14.90,1,10,146.00,
508922,MSR INDIA   ,X ,Q,8.20,8.20,7.04,7.85,7.85,7.88,8,547,3879.00,
508933,AYMSYNTEX   ,B ,Q,32.00,32.00,32.00,32.00,32.00,32.25,3,135,4320.00,
508941,PANASON CAR ,X ,Q,312.50,312.50,308.00,310.00,310.00,312.65,30,472,147096.00,
