Date,Open,High,Low,Close
2019-07-11,38751.62,38892.5,38631.31,38823.11
2019-07-10,38701.99,38854.85,38474.66,38557.04
2019-07-09,38754.47,38814.23,38435.87,38730.82
2019-07-08,39476.38,39476.38,38605.48,38720.57
2019-07-05,39990.4,40032.41,39441.38,39513.39
2019-07-04,39917.65,39979.1,39858.33,39908.06
2019-07-03,39907.57,39934.99,39732.38,39839.25
2019-07-02,39811.68,39838.49,39499.19,39816.48
2019-07-01,39543.73,39764.82,39541.09,39686.5
2019-06-28,39630.52,39675.25,39361.92,39394.64
2019-06-27,39633.97,39817.22,39510.44,39586.41
2019-06-26,39379.13,39674.22,39319.64,39592.08
2019-06-25,39131.94,39490.64,38946.04,39434.94
2019-06-24,39160.23,39300.02,39021.7,39122.96
2019-06-21,39608.25,39617.95,39121.3,39194.49
2019-06-20,39042.96,39638.64,38933.78,39601.63
2019-06-19,39176.56,39435.8,38881.05,39112.74
2019-06-18,39056.98,39167.83,38870.96,39046.34
2019-06-17,39514.36,39540.42,38911.49,38960.79
2019-06-14,39797.0,39799.9,39363.45,39452.07
2019-06-13,39679.35,39800.81,39461.27,39741.36
2019-06-12,39974.18,39982.1,39623.53,39756.81
2019-06-11,39900.45,40066.31,39760.02,39950.46
2019-06-10,39787.33,39979.48,39619.97,39784.52
2019-06-07,39581.77,39703.1,39279.47,39615.9
2019-06-06,40136.43,40159.26,39481.15,39529.72
2019-06-04,40196.0,40312.07,40031.05,40083.54
2019-06-03,39806.86,40308.9,39711.02,40267.62
2019-05-31,39998.91,40122.34,39374.24,39714.2
2019-05-30,39580.28,39911.92,39500.56,39831.97
2019-05-29,39714.27,39767.93,39420.5,39502.05
2019-05-28,39765.64,39828.65,39498.65,39749.73
2019-05-27,39536.23,39821.94,39353.16,39683.29
2019-05-24,39076.28,39476.97,38824.26,39434.72
2019-05-23,39591.77,40124.96,38651.61,38811.39
2019-05-22,39086.21,39249.08,38903.87,39110.21
2019-05-21,39449.45,39571.73,38884.85,38969.8
2019-05-20,38701.18,39412.56,38570.04,39352.67
2019-05-17,37494.42,38001.13,37415.36,37930.77
2019-05-16,37179.13,37518.94,37052.3,37393.48
2019-05-15,37539.05,37559.67,37047.87,37114.88
2019-05-14,37146.58,37572.7,36956.1,37318.53
2019-05-13,37491.3,37583.57,36999.84,37090.82
2019-05-10,37632.36,37721.98,37370.39,37462.99
2019-05-09,37747.91,37780.46,37405.4,37558.91
2019-05-08,38244.18,38248.57,37743.07,37789.13
2019-05-07,38815.46,38835.54,38236.18,38276.63
2019-05-06,38719.33,38719.33,38509.79,38600.34
2019-05-03,39009.55,39172.76,38920.17,38963.26
2019-05-02,39036.51,39189.95,38882.99,38981.43
2019-04-30,39056.92,39105.88,38753.46,39031.55
2019-04-26,38865.83,39103.16,38765.33,39067.33
2019-04-25,39101.78,39262.22,38663.98,38730.86
2019-04-24,38672.63,39095.35,38571.0,39054.68
2019-04-23,38771.27,38832.61,38518.26,38564.88
2019-04-22,39158.22,39158.22,38585.65,38645.18
2019-04-18,39420.04,39487.45,39083.16,39140.28
2019-04-16,39040.3,39364.34,39038.81,39275.64
2019-04-15,38805.54,38976.58,38780.08,38905.84
2019-04-12,38692.06,38818.87,38554.79,38767.11
2019-04-11,38621.58,38649.98,38460.25,38607.01
2019-04-10,38898.6,38950.45,38542.28,38585.35
2019-04-09,38730.93,38978.99,38598.72,38939.22
2019-04-08,38993.6,39041.25,38520.96,38700.53
2019-04-05,38839.52,38958.6,38701.04,38862.23
2019-04-04,38935.75,38939.35,38581.04,38684.72
2019-04-03,39167.05,39270.14,38826.56,38877.12
2019-04-02,38988.57,39121.69,38846.96,39056.65
2019-04-01,38858.88,39115.57,38808.74,38871.87
2019-03-29,38675.0,38748.54,38546.68,38672.91
2019-03-28,38208.3,38593.65,38148.44,38545.72
2019-03-27,38372.03,38475.93,38001.34,38132.88
2019-03-26,37886.29,38297.7,37800.08,38233.41
2019-03-25,38016.76,38016.76,37667.4,37808.91
2019-03-22,38452.47,38564.71,38089.36,38164.61
2019-03-20,38433.86,38489.81,38316.21,38386.75
